Time;U_t;V_t
3.7600000000000002;0.46774149115808716;0.5018417393853509
3.77;0.4704078952684432;0.03130830916345806
3.7800000000000002;0.4683728827400781;-0.4376589450781816
3.79;0.46167551402927065;-0.9003898687422027
3.8000000000000003;0.4504011856902615;-1.352295137193218
3.81;0.434680593377399;-1.7889116972303287
3.8200000000000003;0.41468824743727273;-2.205946765239765
3.83;0.3906405590484576;-2.599319957137617
3.84;0.36279351346814004;-2.96520312352356
3.85;0.3314399605445607;-3.300057521523285
3.86;0.29690654746934225;-3.6006679507265815
3.87;0.25955032468416106;-3.864173498856939
3.88;0.2197550668755496;-4.088094681859898
3.89;0.177927343607555;-4.270356733309082
3.9;0.1344923550748721;-4.409308413559273
3.91;0.0898896393984106;-4.503737026023393
3.92;0.044568624055695776;-4.552878704036085
3.93;-0.0010158945891730123;-4.556424213012445
3.94;-0.046408309227223415;-4.514520216734993
3.95;-0.09115674485378569;-4.42776600679447
3.96;-0.13481755601116177;-4.297205714746218
3.97;-0.1769597107281832;-4.124316124332882
3.98;-0.21716904184616503;-3.9109902210188072
3.99;-0.25505230963275377;-3.659516653264292
4.0;-0.29024103919031424;-3.372555324882521
4.01;-0.3223950953443411;-3.0531093980090778
4.0200000000000005;-0.3512059611081076;-2.704493976694001
4.03;-0.3763996889137291;-2.330301798705139
4.04;-0.39773949526795943;-1.9343662839359714
4.05;-0.4150279682248445;-1.5207224119256937
4.0600000000000005;-0.4281088863474391;-1.0935656010192656
4.07;-0.43686860645165854;-0.6572092841733794
4.08;-0.441237029688866;-0.21604140421403742
4.09;-0.44118812535348867;0.2255196313456987
4.1;-0.4367400152100391;0.6630691334753454
4.11;-0.427954616400038;1.0922599824341064
4.12;-0.4149368488214438;1.5088458133691096
4.13;-0.39783341741691336;1.9087228730873647
4.14;-0.376831182251265;2.2879703890400322
4.15;-0.3521551357894181;2.642888952112864
4.16;-0.32406600635560334;2.9700365444268084
4.17;-0.29285751585558617;3.2662618051685572
4.18;-0.25885331902147374;3.5287343106275957
4.19;-0.2224036560812295;3.7549714960848832
4.2;-0.1838817552047062;3.9428620441007594
4.21;-0.14368001815863585;4.090685445301478
4.22;-0.10220603068850762;4.197127590098265
4.23;-0.05987843914860139;4.261292267615541
4.24;-0.01712272950843461;4.282708414618426
4.25;0.02563304167953944;4.261333131638461
4.26;0.06796252605248967;4.197550390904687
4.2700000000000005;0.10944532790632668;4.092165506895751
4.28;0.14967117264192123;3.946395423547453
4.29;0.18824395736583993;3.7618549368684917
4.3;0.22478564431284853;3.540539004214104
4.3100000000000005;0.25893995875653547;3.284801331721232
4.32;0.29037585398385485;2.9973294742092813
4.33;0.31879071236508316;2.6811167015740236
4.34;0.34391324915578053;2.3394309298431444
4.3500000000000005;0.3655060926944614;1.9757810388900787
4.36;0.3833680158563431;1.5938809221225247
4.37;0.39733579865537355;1.1976116302771453
4.38;0.40728570369050565;0.7909820098878496
4.39;0.4131345526960657;0.37808821507388934
4.4;0.41484039415700413;-0.03692749049027391
4.41;0.4124027567986067;-0.449918218320012
4.42;0.40586248888255017;-0.8567738276569408
4.43;0.3953011858080022;-1.253461762741269
4.44;0.38084021394439704;-1.6360669533463936
4.45;0.36263934334075587;-2.0008303413582618
4.46;0.34089499381192534;-2.344185957159792
4.47;0.3158381401767094;-2.662795360229617
4.48;0.2877318673724554;-2.9535802011272985
4.49;0.25686861539221706;-3.2137520080407587
4.5;0.22356714950742002;-3.4408385672684614
4.51;0.18816927617819484;-3.6327075483297815
4.5200000000000005;0.15103634158959875;-3.787586274587296
4.53;0.11254555084405958;-3.9040779932846794
4.54;0.07308614402657865;-3.981174339313768
4.55;0.03305546528574927;-4.018263784571123
4.5600000000000005;-0.007145030151819262;-4.01513619799689
4.57;-0.04711379654015307;-3.971983319291253
